CUSTOMER_ID,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,GENDER,INCOME,SALESPERSON_ID
1,Stephen,Yosifov,1723 Springs Park,Pittsburgh,PA,31154,-120-9292,M,6702339,19
2,Ruperta,McDonagh,637 Bobwhite Plaza,Akron,OH,63641,330-396-5495,F,5638446,23
3,Vassili,Ryde,2056 Westridge Pass,Toledo,OH,18286,419-188-5280,M,8144644,6
4,Antoine,Louden,8 Debs Lane,Pueblo,CO,70688,719-608-4405,M,9350797,21
5,Luciano,Feltoe,16279 Brentwood Pass,Tuscaloosa,AL,15441,205-812-6422,M,6358970,4
6,Tally,Wyse,597 Monument Place,Chicago,IL,68856,773-543-0631,F,751666,62
7,Odella,Stoltz,1 Dawn Court,Des Moines,IA,54636,515-463-5103,F,5297405,81
8,Sly,Greenall,850 Bartillon Park,Orlando,FL,45348,407-970-7520,M,6387740,97
9,Kermit,Anstey,053 Saint Paul Road,Garden Grove,CA,60572,714-724-8248,M,679381,45
10,Oneida,Hamblington,012 Killdeer Plaza,Corpus Christi,TX,31386,361-241-7367,F,9575730,42
11,Jeromy,Koopman,8 Maple Drive,Cedar Rapids,IA,36354,319-994-6370,M,504273,41
12,Bearnard,Ingerfield,8873 Boyd Street,Charleston,WV,98584,304-831-4284,M,3760736,64
13,Aliza,Hazelgreave,1 Sage Trail,Naperville,IL,46163,630-434-7424,F,3895293,57
14,Judi,Cadd,02632 Melby Point,Philadelphia,PA,31911,215-914-6141,F,388893,34
15,Fidelity,Oganesian,361 Hayes Park,Van Nuys,CA,13242,213-679-6927,F,2747951,13
16,Stephi,Goatman,66120 Independence Trail,Reston,VA,51194,703-291-4708,F,3447280,96
17,Jamey,Everist,8 Union Lane,Jackson,MS,45909,601-287-9492,M,3568313,73
18,Haydon,Rotge,07 Talmadge Lane,Amarillo,TX,93620,806-214-3551,M,7891333,78
19,Helene,Jordeson,09742 Stone Corner Way,Reno,NV,34118,775-119-7288,F,5591839,10
20,Payton,Fortnon,2 Myrtle Street,Washington,DC,69372,202-540-6543,M,2907873,4
21,Chrissie,MacIan,11 Pennsylvania Avenue,Jacksonville,FL,63641,904-860-4830,M,3492900,37
22,Lawry,Backs,8 Bashford Pass,Pomona,CA,20986,909-116-0770,M,3471543,50
23,Shadow,Bullin,55 Hintze Court,Washington,DC,49130,202-722-9959,M,1884606,94
24,Towny,Gantzman,836 Mallory Circle,Evanston,IL,32965,847-198-2182,M,7033652,14
25,Marcela,McElmurray,03209 Lakewood Parkway,Seattle,WA,12660,425-847-1031,F,2275387,17
26,Torry,Cheeseman,91289 Bay Trail,Lansing,MI,24301,517-839-7271,M,5025090,69
27,Wayne,Sowte,59 Namekagon Plaza,Englewood,CO,52349,303-575-4854,M,1602011,42
28,Lind,Cleary,5 Holmberg Point,San Diego,CA,56744,619-756-3958,M,1419793,40
29,Maryl,Whatley,371 Golf Trail,San Antonio,TX,17090,210-847-7655,F,7420017,43
30,Vinny,Syers,70 South Street,Flushing,NY,21606,718-920-2404,M,160036,92
31,Teador,Shoveller,22 Helena Junction,Peoria,IL,40457,309-203-8904,M,9546438,92
32,Garreth,Momford,3 Chive Terrace,Charlotte,NC,56202,704-698-7079,M,5267778,29
33,Carolann,Crockatt,49 Manitowish Drive,Tampa,FL,44029,813-708-7655,F,7734700,86
34,Aylmer,Sumpter,99 Utah Street,Sacramento,CA,11980,916-644-1646,M,6454996,82
35,Lisabeth,Osmar,1384 Armistice Place,Houston,TX,60305,832-622-5984,F,204628,35
36,Ruperto,Godfrey,12 Acker Lane,Pocatello,ID,27150,208-869-0458,M,230596,100
37,Tami,Strickler,2078 5th Hill,Sioux Falls,SD,94092,605-676-5527,F,6588277,39
38,Thorny,Le Count,6203 Quincy Avenue,Charlotte,NC,18471,704-146-2543,M,9732874,46
39,Alice,Raynes,61351 Annamark Circle,Santa Monica,CA,31264,310-682-9453,F,786402,1
40,Farrell,Spradbery,57 Blue Bill Park Trail,Lancaster,CA,49061,661-841-5973,M,1550485,16
41,Casi,Jurs,574 Iowa Trail,Topeka,KS,71134,785-915-1937,F,1007476,9
42,Asher,Di Frisco,4017 La Follette Junction,Richmond,VA,80037,804-495-2073,M,6883666,58
43,Janean,Matsell,68 Monterey Road,Fort Worth,TX,62194,817-582-6563,F,8174781,66
44,Moira,Rodda,74249 Tennessee Court,Pasadena,CA,26672,626-897-7858,F,8559329,92
45,Pernell,Tessington,5 Westport Trail,Sarasota,FL,60040,941-308-4959,M,9429177,8
46,Corrie,Tours,1220 Caliangt Drive,Provo,UT,82027,801-175-2510,M,6532639,1
47,Elle,McClaurie,185 Moland Court,Dallas,TX,93676,469-805-5320,F,2206867,17
48,Sylvester,Shulver,82 Independence Avenue,Providence,RI,40717,401-560-2884,M,436632,76
49,Aloise,Norsworthy,3 Hollow Ridge Center,San Francisco,CA,80391,858-724-6063,F,1610744,15
50,Thaxter,Iskowitz,97 Grim Road,Oklahoma City,OK,86322,405-588-1147,M,9946382,32
51,Susanne,Larn,4002 Erie Avenue,Denver,CO,22065,720-525-0763,F,6001304,5
52,Harald,Brettel,1 Eagan Drive,Schenectady,NY,66189,518-363-7729,M,4510239,9
53,Benjie,Dimelow,0816 Aberg Parkway,Bloomington,IN,39746,812-958-9488,M,4517029,3
